work_id,doi,title,publication_year
W2281365878,https://doi.org/10.2166/aqua.2014.036,Assessing measurement uncertainty on trihalomethanes prediction through kinetic models in water supply systems,2014
W2151964075,https://doi.org/10.2166/aqua.2011.040,"Comparison of dechlorination rates and water quality impacts for sodium bisulfite, sodium thiosulfate and ascorbic acid",2011
W2897006159,https://doi.org/10.2166/aqua.2011.012,Micronized CaCO3: a feasible alternative to limestone filtration for conditioning and (re)mineralization of drinking water?,2011
W3178485975,https://doi.org/10.2166/aqua.2021.050,Structural property and risk assessment of loose deposits in drinking water distribution systems,2021
W2045833722,https://doi.org/10.2166/aqua.2009.041,"Performance assessment of urban utilities: the case of water supply, wastewater and solid waste",2009
W2051031703,https://doi.org/10.2166/aqua.2010.090,Risk assessment study for water supply network using GIS,2010
W2290484368,https://doi.org/10.2166/aqua.2004.0023,Inactivation of Cryptosporidium parvum with ozone in treated drinking water,2004
W58156680,https://doi.org/10.2166/aqua.2000.0020,Microbiological water quality management in the Paris suburbs distribution system,2000
W1994550907,https://doi.org/10.2166/aqua.2009.025,Using a tracer to identify water supply zones in a distribution network,2009
W1965677375,https://doi.org/10.2166/aqua.2014.087,Design of dual water supply system using rainwater and groundwater at arsenic contaminated area in Vietnam,2014
W2335510971,https://doi.org/10.2166/aqua.2011.029,Microcystin-LR removal from drinking water supplies by chemical oxidation and activated carbon adsorption,2011
W4206318802,https://doi.org/10.2166/aqua.2022.124,From a millennium to a sustainable water and sanitation development: were we there already?,2022
W2260529635,https://doi.org/10.2166/aqua.2015.030,Artiﬁcial neural network modeling of the effluent quality index for municipal waste water treatment plants using quality variables: south of Tehran waste water treatment plant,2015
W1994120715,https://doi.org/10.2166/aqua.2009.027,A CFD methodology for the design of rectangular sedimentation tanks in potable water treatment plants,2009
W2022046446,https://doi.org/10.2166/aqua.2013.011,"Household survey of installation and treatment efficiency of point-of-use water treatment systems in Hanoi, Vietnam",2013
W2771194257,https://doi.org/10.2166/aqua.2017.229,Determining the economic value of surface water quality improvements to trout farmers,2017
W2613564057,https://doi.org/10.2166/aqua.2017.108,In-situ features of LNA and HNA bacteria in branch ends of drinking water distribution systems,2017
W2995115227,https://doi.org/10.2166/aqua.2019.100,Sustainable eco-technologies for water and wastewater treatment,2019
W2290172292,https://doi.org/10.2166/aqua.2000.0011,"Elimination of enteroviruses, other enteric viruses, F-specific coliphages, somatic coliphages and E. coli in four sewage treatment plants of southern Germany",2000
W2028894786,https://doi.org/10.2166/aqua.2012.007,"Demographics, practices and water quality from domestic potable rainwater harvesting systems",2012
W3134996767,https://doi.org/10.2166/aqua.2021.151,A study of the water supply system failure in terms of the seasonality: analysis by statistical approaches,2021
W116669837,https://doi.org/10.2166/aqua.2004.0041,Evaluation of two-stage filtration systems in drinking water treatment,2004
W2001097311,https://doi.org/10.2166/aqua.2013.115,Denitrification of drinking water using Saccharum spontaneum L. as a natural organic solid substrate,2013
W1979964217,https://doi.org/10.2166/aqua.2009.086,A pilot-scale study on ultraviolet disinfection system for drinking water,2009
W2032923952,https://doi.org/10.2166/aqua.2009.002,Assessing the feasibility of a water treatment plant quality index,2009
