rank,author_id,author_name,matched_works,total_works,matched_share,cited_by_count,orcid,flag_low_share,retained
52,A5032339401,Ho Kyong Shon,188,709,0.2651622002820874,31346,https://orcid.org/0000-0002-3777-7169,FALSE,TRUE
53,A5022647201,Marina Konopleva,187,2098,0.08913250714966635,72228,https://orcid.org/0000-0002-9347-2212,TRUE,FALSE
54,A5006059763,Wenshan Guo,183,626,0.29233226837060705,45323,https://orcid.org/0000-0001-5542-2858,FALSE,TRUE
55,A5041318439,John D. Clemens,183,609,0.30049261083743845,32218,https://orcid.org/0000-0002-6379-1052,FALSE,TRUE
56,A5073235870,Shi‐Zhu Li,183,480,0.38125,4995,https://orcid.org/0000-0003-3172-5218,FALSE,TRUE
57,A5001724045,Guangming Zeng,182,1689,0.10775606867969213,201478,https://orcid.org/0000-0002-4230-7647,FALSE,TRUE
58,A5008316952,Charles P. Gerba,182,804,0.2263681592039801,41598,https://orcid.org/0000-0002-7990-0903,FALSE,TRUE
59,A5090435894,Hagop M. Kantarjian,181,5583,0.03241984596095289,270767,https://orcid.org/0000-0002-1908-3307,TRUE,FALSE
60,A5091007059,Avi Ostfeld,181,442,0.4095022624434389,10997,https://orcid.org/0000-0001-9112-6079,FALSE,TRUE
61,A5021173085,Firdausi Qadri,178,310,0.5741935483870968,10593,https://orcid.org/0000-0001-8459-304X,FALSE,TRUE
62,A5100337957,Han‐Qing Yu,174,917,0.18974918211559433,72552,https://orcid.org/0000-0001-5247-6244,FALSE,TRUE
63,A5005372497,José Manuel Barat Baviera,173,1021,0.1694417238001959,15193,https://orcid.org/0000-0001-8487-7114,FALSE,TRUE
64,A5021629663,Krist V. Gernaey,173,893,0.1937290033594625,19227,https://orcid.org/0000-0002-0364-1773,FALSE,TRUE
65,A5020715497,Giorgio Mannina,172,365,0.4712328767123288,7570,https://orcid.org/0000-0002-5405-7147,FALSE,TRUE
66,A5042633786,Tim A. McAllister,171,1313,0.13023610053313023,52224,https://orcid.org/0000-0002-8266-6513,FALSE,TRUE
67,A5044934375,John M. Colford,171,327,0.5229357798165137,22950,https://orcid.org/0000-0002-3288-6956,FALSE,TRUE
68,A5061743164,Naiyun Gao,171,510,0.3352941176470588,23564,NA,FALSE,TRUE
69,A5031009188,Zulfiqar A Bhutta,169,1866,0.09056806002143623,367694,https://orcid.org/0000-0003-0637-599X,TRUE,FALSE
70,A5055444990,P. Senthil Kumar,169,1108,0.15252707581227437,58083,https://orcid.org/0000-0001-9389-5541,FALSE,TRUE
