source,paperid,doi,file_name,format,parse_status,n_tables,max_table_rows,n_images,n_words_prose,has_observation_table,any_summary_table,n_sheets,max_sheet_rows,n_merged_ranges,multi_table_sheet,content_class
aqua,38080,10.2166/aqua.2017.183,jws2017183supp.docx,docx,ok,0,0,0,163,FALSE,FALSE,NA,NA,NA,NA,prose only
aqua,38078,10.2166/aqua.2017.084,jws2017084supp.docx,docx,ok,0,0,0,2306,FALSE,FALSE,NA,NA,NA,NA,prose only
aqua,38113,10.2166/aqua.2017.103,aqua2017103supp.pdf,pdf,not_attempted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted
aqua,39345,10.2166/aqua.2018.021,jws2018021supp.docx,docx,ok,1,149,0,274,TRUE,FALSE,NA,NA,NA,NA,observation tables
aqua,64330,10.2166/aqua.2018.075,jws2018075supp.docx,docx,ok,0,0,0,613,FALSE,FALSE,NA,NA,NA,NA,prose only
aqua,63276,10.2166/aqua.2018.052,jws2018052supp.docx,docx,ok,5,41,0,649,TRUE,FALSE,NA,NA,NA,NA,observation tables
aqua,64603,10.2166/aqua.2018.104,jws2018104supp.docx,docx,ok,2,3,0,28,FALSE,TRUE,NA,NA,NA,NA,summary tables
aqua,66692,10.2166/aqua.2019.138,jws2019138supp.pdf,pdf,not_attempted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted
aqua,67247,10.2166/aqua.2019.134,jws2019134supp.docx,docx,ok,2,25,0,1711,TRUE,FALSE,NA,NA,NA,NA,observation tables
aqua,68627,10.2166/aqua.2019.157,jws2019157supp.docx,docx,ok,0,0,0,1000,FALSE,FALSE,NA,NA,NA,NA,prose only
aqua,70236,10.2166/aqua.2019.078,jws2019078supp.docx,docx,ok,0,0,0,970,FALSE,FALSE,NA,NA,NA,NA,prose only
aqua,69036,10.2166/aqua.2019.027,jws2019027supp.doc,doc,not_attempted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted
aqua,70269,10.2166/aqua.2019.063,jws2019063supp.doc,doc,not_attempted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted
aqua,71028,10.2166/aqua.2019.111,jws2019111supp.docx,docx,ok,0,0,1,116,FALSE,FALSE,NA,NA,NA,NA,figures
aqua,71145,10.2166/aqua.2019.210,jws2019210supp.docx,docx,ok,3,8,0,184,FALSE,TRUE,NA,NA,NA,NA,summary tables
aqua,71096,10.2166/aqua.2019.084,jws2019084supp.docx,docx,ok,2,88,0,375,TRUE,FALSE,NA,NA,NA,NA,observation tables
aqua,70880,10.2166/aqua.2019.075,jws2019075supp.docx,docx,ok,0,0,0,2768,FALSE,FALSE,NA,NA,NA,NA,prose only
aqua,71661,10.2166/aqua.2019.004,jws2019004supp.docx,docx,ok,0,0,0,90,FALSE,FALSE,NA,NA,NA,NA,prose only
aqua,71449,10.2166/aqua.2019.113,jws2019113supp.docx,docx,ok,2,46,0,277,TRUE,FALSE,NA,NA,NA,NA,observation tables
aqua,73749,10.2166/aqua.2020.143,jws2020143supp.docx,docx,ok,0,0,0,83,FALSE,FALSE,NA,NA,NA,NA,prose only
aqua,72316,10.2166/aqua.2020.109,jws2020109supp.docx,docx,ok,0,0,0,20,FALSE,FALSE,NA,NA,NA,NA,prose only
aqua,73291,10.2166/aqua.2020.127,jws2020127supp.docx,docx,ok,1,3,0,131,FALSE,FALSE,NA,NA,NA,NA,summary tables
aqua,75282,10.2166/aqua.2020.146,jws2020146supp1.docx,docx,ok,0,0,0,905,FALSE,FALSE,NA,NA,NA,NA,prose only
aqua,75282,10.2166/aqua.2020.146,jws2020146supp2.pptx,pptx,not_attempted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted
aqua,75823,10.2166/aqua.2020.010,jws2020010supp.docx,docx,ok,2,6,0,556,FALSE,FALSE,NA,NA,NA,NA,summary tables
aqua,76707,10.2166/aqua.2020.212,jws2020212supp.docx,docx,ok,0,0,0,41,FALSE,FALSE,NA,NA,NA,NA,prose only
aqua,77837,10.2166/aqua.2020.053,jws2020053supp.docx,docx,ok,1,1,0,161,FALSE,FALSE,NA,NA,NA,NA,summary tables
aqua,78594,10.2166/aqua.2020.057,jws2020057supp.docx,docx,ok,1,14,0,450,FALSE,FALSE,NA,NA,NA,NA,summary tables
aqua,78084,10.2166/aqua.2020.094,jws2020094supp.docx,docx,ok,1,2,2,228,FALSE,FALSE,NA,NA,NA,NA,summary tables
aqua,80017,10.2166/aqua.2021.039,jws2021039supp1.docx,docx,ok,0,0,0,2958,FALSE,FALSE,NA,NA,NA,NA,prose only
aqua,80017,10.2166/aqua.2021.039,jws2021039supp2.docx,docx,ok,0,0,0,3178,FALSE,FALSE,NA,NA,NA,NA,prose only
aqua,80325,10.2166/aqua.2021.105,jws2021105supp.pdf,pdf,not_attempted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted
aqua,81370,10.2166/aqua.2021.163,jws2021163supp.docx,docx,ok,1,2,0,1968,FALSE,FALSE,NA,NA,NA,NA,summary tables
aqua,82365,10.2166/aqua.2021.032,jws2021032supp.docx,docx,ok,1,8,0,32,FALSE,FALSE,NA,NA,NA,NA,summary tables
aqua,82960,10.2166/aqua.2021.050,jws2021050supp.docx,docx,ok,0,0,0,236,FALSE,FALSE,NA,NA,NA,NA,prose only
aqua,83327,10.2166/aqua.2021.018,jws2021018supp.docx,docx,ok,2,5,4,932,FALSE,FALSE,NA,NA,NA,NA,summary tables
aqua,83690,10.2166/aqua.2021.146,jws2021146supp.docx,docx,ok,0,0,0,1890,FALSE,FALSE,NA,NA,NA,NA,prose only
aqua,83539,10.2166/aqua.2021.056,jws2021056supp.docx,docx,ok,0,0,0,3644,FALSE,FALSE,NA,NA,NA,NA,prose only
aqua,84403,10.2166/aqua.2021.082,jws2021082supp1.pdf,pdf,not_attempted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted
aqua,84403,10.2166/aqua.2021.082,jws2021082supp2.xlsx,xlsx,ok,NA,NA,NA,NA,TRUE,FALSE,7,47,15,TRUE,observation tables
aqua,84403,10.2166/aqua.2021.082,jws2021082supp3.pdf,pdf,not_attempted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted
aqua,85076,10.2166/aqua.2021.088,jws2021088supp1.jpeg,jpeg,not_attempted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted
aqua,85076,10.2166/aqua.2021.088,jws2021088supp2.jpeg,jpeg,not_attempted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted
aqua,85076,10.2166/aqua.2021.088,jws2021088supp3.jpeg,jpeg,not_attempted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted
aqua,86389,10.2166/aqua.2022.118,jws2022118supp.docx,docx,ok,0,0,0,1668,FALSE,FALSE,NA,NA,NA,NA,prose only
aqua,87108,10.2166/aqua.2022.128,jws2022128supp.docx,docx,ok,0,0,0,61,FALSE,FALSE,NA,NA,NA,NA,prose only
aqua,87730,10.2166/aqua.2022.157,jws2022157supp.docx,docx,ok,1,5,2,913,FALSE,FALSE,NA,NA,NA,NA,summary tables
aqua,88060,10.2166/aqua.2022.161,jws2022161supp.docx,docx,ok,0,0,0,235,FALSE,FALSE,NA,NA,NA,NA,prose only
aqua,88323,10.2166/aqua.2022.032,jws2022032supp.docx,docx,ok,15,19,0,690,TRUE,FALSE,NA,NA,NA,NA,observation tables
aqua,89607,10.2166/aqua.2022.052,jws0710801supp1.docx,docx,ok,1,8,0,598,FALSE,FALSE,NA,NA,NA,NA,summary tables
aqua,89916,10.2166/aqua.2022.029,jws0710910supp1.docx,docx,ok,0,0,0,1168,FALSE,FALSE,NA,NA,NA,NA,prose only
aqua,93558,10.2166/aqua.2023.113,jws0720230supp1.docx,docx,ok,2,11,1,64,FALSE,FALSE,NA,NA,NA,NA,summary tables
aqua,93607,10.2166/aqua.2023.217,jws0720313supp1.docx,docx,ok,0,0,0,299,FALSE,FALSE,NA,NA,NA,NA,prose only
aqua,94059,10.2166/aqua.2023.211,jws0720491supp1.docx,docx,ok,3,19,0,2073,TRUE,FALSE,NA,NA,NA,NA,observation tables
aqua,94079,10.2166/aqua.2023.219,jws0720520supp1.docx,docx,ok,0,0,0,613,FALSE,FALSE,NA,NA,NA,NA,prose only
aqua,94528,10.2166/aqua.2023.067,jws0720577supp1.docx,docx,ok,0,0,1,10,FALSE,FALSE,NA,NA,NA,NA,figures
aqua,94524,10.2166/aqua.2023.120,jws0720633supp1.docx,docx,ok,0,0,0,512,FALSE,FALSE,NA,NA,NA,NA,prose only
